building_type,climate_zone,budget_level,area_sqft,floors,ceiling_height,occupancy,operating_hours,building_age,outdoor_temp,humidity,insulation,glass_ratio,recommended_hvac
Residential,Humid,Medium,1021.68,1.0,8.47,12.0,13.0,26.0,33.09,80.72,Average,Low,Split AC
Residential,Humid,Medium,2091.91,1.0,9.35,35.0,9.0,6.0,30.87,84.94,Good,Low,Split AC
Residential,Humid,Medium,2316.93,1.0,8.27,25.0,7.0,13.0,33.39,89.19,Average,Low,Split AC
Residential,Hot,,2451.41,1.0,9.82,58.0,12.0,18.0,33.57,28.04,Average,Low,Split AC
Retail,Warm,Medium,119190.52,5.0,16.12,12825.0,14.0,0.0,30.76,51.36,Good,High,VRF
Residential,Warm,High,2225.66,1.0,9.07,43.0,10.0,0.0,31.38,46.04,Good,Medium,Split AC
Industrial,Humid,Low,69880.21,1.0,19.27,1896.0,16.0,46.0,27.29,88.38,Poor,Low,Packaged Unit
Office,Humid,Medium,48694.85,3.0,10.6,3794.0,11.0,25.0,31.54,91.49,Average,High,Multi-Split
Residential,Humid,High,943.99,1.0,10.45,10.0,9.0,32.0,33.61,78.99,Excellent,Medium,Packaged Unit
Industrial,Cold,Medium,50368.5,1.0,29.1,3882.0,14.0,10.0,17.63,,Average,Medium,Packaged Unit
Residential,Warm,Low,2350.96,1.0,9.89,41.0,10.0,19.0,23.72,64.8,Poor,Medium,Split AC
Industrial,Hot,Medium,93887.1,5.0,16.13,3450.0,13.0,38.0,38.37,46.3,Poor,Low,VRF
Retail,Cold,Medium,83784.62,2.0,16.86,9664.0,10.0,3.0,16.98,33.35,Poor,High,Packaged Unit
Residential,Hot,High,1318.98,1.0,8.75,14.0,13.0,11.0,40.72,32.7,Average,Low,Multi-Split
Office,Hot,Medium,27597.5,1.0,10.31,761.0,8.0,,36.63,41.84,Average,High,Multi-Split
Residential,,Low,2204.53,1.0,9.04,37.0,9.0,18.0,36.14,40.59,Average,Low,Multi-Split
Hospital,Cold,Medium,237399.85,13.0,,15695.0,21.0,17.0,13.05,37.08,Average,Medium,Central Chiller
Retail,Warm,High,62882.97,4.0,13.69,2522.0,15.0,2.0,23.86,53.63,Good,High,VRF
Residential,Hot,Low,1512.1,1.0,10.87,28.0,9.0,10.0,42.63,47.92,Average,Medium,Split AC
Office,Humid,Medium,32366.1,3.0,10.4,1216.0,8.0,28.0,34.78,70.38,Good,High,VRF
Retail,Warm,Medium,22574.49,2.0,13.98,2634.0,10.0,22.0,33.36,61.33,Average,Medium,VRF
